roi,revenue_mln
-87.6946582474633,0.06152670876268354
-34.55751411776566,0.3272124294111717
-52.7811607639798,0.23609419618010102
-98.42588555913501,0.007870572204324994
-74.76021050940143,0.12619894745299282
-17.871516910786966,0.41064241544606517
-100.0,0.0
-70.94164869531065,0.14529175652344678
-27.705707686083315,0.36147146156958343
-82.11072454757912,0.08944637726210437
-77.31852427607282,0.11340737861963593
-62.416045125941096,0.1879197743702945
-21.954346272339585,0.39022826863830207
-76.29852032358804,0.11850739838205983
-71.32607039913432,0.1433696480043284
-71.08038968414586,0.14459805157927075
-3.7262733998608133,0.48136863300069593
-4.214640587403395,0.478926797062983
-34.3863801561511,0.3280680992192445
-50.148306143498566,0.24925846928250717
-41.18957714550402,0.2940521142724799
-21.971121730846967,0.3901443913457652
-83.87331296944876,0.08063343515275621
-30.004361102497356,0.3499781944875132
-91.98675172829114,0.040066241358544336
-76.26917098095434,0.11865414509522829
-36.85956133162497,0.31570219334187516
-96.4459362302543,0.017770318848728456
-63.57318163746597,0.18213409181267015
-81.98354326172667,0.09008228369136666
-66.520902309454,0.16739548845273
-100.0,0.0
-100.0,0.0
-77.85401108668157,0.11072994456659219
-36.34024408779126,0.3182987795610437
-64.42948170383202,0.17785259148083984
-59.92740010467319,0.20036299947663408
-42.4432981861662,0.287783509069169
-82.43715160737378,0.08781424196313115
-52.764609086548695,0.23617695456725651
-80.54506423636775,0.09727467881816126
-100.0,0.0
-69.97193351416074,0.1501403324291963
-45.36209534680975,0.27318952326595125
-51.362524209188734,0.24318737895405634
-60.301798328541324,0.1984910083572934
1.0297261718807516,0.5051486308594038
-49.46652652273523,0.25266736738632384
-35.032244746496254,0.3248387762675187
-2.904506670970586,0.48547746664514707
-93.012380692889,0.03493809653555502
-86.49969923992228,0.06750150380038861
-15.517545277476263,0.4224122736126187
-80.35874324594548,0.09820628377027264
-59.24277473715994,0.2037861263142003
-32.721531392236,0.33639234303882
-37.27789818129666,0.3136105090935167
-15.232495357624753,0.42383752321187623
-21.845812830778844,0.3907709358461058
-32.71957475240468,0.3364021262379766
-79.71195699610182,0.1014402150194909
-39.722891127724026,0.3013855443613799
-51.98285728298808,0.2400857135850596
-93.83330254950141,0.03083348725249288
-23.84441207967213,0.38077793960163936
-39.407231260750855,0.30296384369624574
-58.83953875941079,0.20580230620294607
-65.94622604552075,0.17026886977239625
-90.5689067525711,0.04715546623714453
-54.910100164320596,0.22544949917839702
